word,pleasantness_male,pleasantness_female,pleasantness,imagery_male,imagery_female,imagery,frequency_male,frequency_female,frequency
honor,4.51,4.49,4.5,2.74,3.09,2.94,3.11,3.03,3.06
horror,1.8,1.75,1.78,3.42,3.71,3.59,2.64,2.76,2.71
horse,3.95,4.03,3.99,4.69,4.71,4.7,2.52,2.76,2.65
hospital,2.4,2.31,2.36,4.52,4.74,4.65,3.41,3.03,3.21
hostage,1.77,1.47,1.63,3.63,3.69,3.66,2.41,2.32,2.37
hug,4.46,4.61,4.53,3.93,4.5,4.25,3.17,4.18,3.71
humiliate,1.74,1.5,1.62,2.73,2.97,2.87,2.45,3.21,2.86
humor,4.28,4.69,4.4,3.54,3.66,3.61,3.48,3.85,3.68
hurt,1.95,1.72,1.84,2.8,3.74,3.35,3.28,4.26,3.81
idiot,2.15,1.75,1.96,3.33,3.4,3.37,3.31,3,3.14
improve,4.23,3.97,4.11,2.74,2.83,2.79,3.66,3.94,3.81
inconsiderate,1.82,1.61,1.72,2.54,3.32,2.98,2.83,3.42,3.15
industry,3.31,2.97,3.15,3.81,3.82,3.82,2.9,2.82,2.86
infection,1.6,1.36,1.49,3.33,3.4,3.37,2.76,2.85,2.81
ink,2.97,3.25,3.11,4.19,4.62,4.43,3.38,3.29,3.33
inspire,4.17,4.31,4.24,2.37,2.63,2.52,2.52,2.85,2.7
irritate,1.82,1.64,1.73,2.78,3.26,3.05,2.76,3.59,3.21
jail,1.63,1.39,1.51,4.38,4.49,4.44,3.1,2.59,2.83
jealousy,2.07,1.53,1.8,2.62,3.37,3.05,2.86,3.53,3.23
jelly,3.64,3.58,3.61,4.3,4.65,4.49,2.72,3.06,2.9
jewel,4.26,4.19,4.23,4.04,4.69,4.41,2.46,2.47,2.47
joy,4.46,4.75,4.6,3,3.4,3.23,2.66,3.24,2.97
justice,4.05,4.46,4.25,2.74,2.91,2.84,3,3.12,3.06
kerosene,2.71,2.53,2.62,3.59,4.06,3.85,2.17,1.88,2.02
killer,1.38,1.11,1.2,3.67,3.94,3.82,2.97,2.88,2.92
kindness,4.5,4.39,4.45,3,3.49,3.27,2.93,3.26,3.11
king,3.85,3.92,3.88,4.37,4.46,4.42,2.52,2.26,2.38
kiss,4.45,4.81,4.62,4.62,4.74,4.69,3.93,4.3,4.13
knowledge,4.08,4.14,4.11,2.85,3.17,3.03,3.48,3.91,3.71
lake,4.16,4.25,4.21,4.7,4.77,4.74,3.52,3,3.2
laughter,4.55,4.72,4.63,3.77,4.23,4.03,3.43,3.82,3.64
learn,4.02,4.19,4.11,2.63,2.97,2.82,4,4.47,4.25
leprosy,1.44,1.47,1.45,3.07,2.94,3,1.46,1.32,1.38
liberty,4.26,4.58,4.42,3.04,3.11,3.08,2.64,2.27,2.44
lice,1.36,1.36,1.36,3.59,3.57,3.58,1.59,1.53,1.56
lie,1.64,1.69,1.67,2.65,3.09,2.9,3.54,3.79,3.68
life,4.51,4.64,4.57,3.19,3.63,3.44,4.04,4.35,4.21
loneliness,1.63,1.64,1.63,3.04,3.32,3.2,2.76,3.44,3.13
louse,1.62,1.42,1.52,2.74,3,2.89,1.79,1.53,1.65
love,4.69,4.97,4.83,3.89,4.29,4.11,4.41,4.56,4.49
loyal,4.46,4.56,4.51,2.63,3.44,3.08,2.59,3.32,2.98
lucky,4.4,4.47,4.43,2.7,3.2,2.98,3.83,3.76,3.79
luscious,4.13,4.34,4.23,2.89,3.21,3.07,2.66,2.56,2.6
luxury,4.25,4.31,4.28,3.78,4.24,4.03,2.83,3.06,2.95
maggot,1.44,1.39,1.41,3.96,3.69,3.8,2.14,1.47,1.7
magnificent,4.38,4.47,4.42,2.52,2.69,2.61,2.55,2.68,2.62
malaria,1.63,1.69,1.66,2.26,2.86,2.6,1.79,1.59,1.68
malice,2.13,1.83,1.99,1.88,2.29,2.11,1.96,2,1.98
me,4.28,4.25,4.27,3.92,4.43,4.21,4.1,4.47,4.3
measles,1.78,1.5,1.64,3.33,4.17,3.81,1.78,1.53,1.64
memory,3.63,3.97,3.8,2.31,2.71,2.54,3.34,3.85,3.62
menace,1.97,1.67,1.83,2.38,2.6,2.51,1.82,2,1.92
mildew,2.1,1.94,2.03,3.78,3.83,3.81,1.86,2.03,1.95
millionaire,4.44,4.42,4.43,3.85,4.26,4.08,3,2.82,2.9
miracle,4.53,4.42,4.47,2.93,3.31,3.15,2.62,3,2.82
moment,3.38,3.5,3.44,2.11,2.49,2.32,3.17,3.38,3.29
money,4.36,4.47,4.41,4.73,4.69,4.7,4.76,4.91,4.84
month,3.32,3.14,3.24,2.77,3.51,3.2,4.18,4.03,4.1
morbid,1.82,1.39,1.61,2.65,3.49,3.13,2.07,2.18,2.13
morgue,1.8,1.36,1.5,3.88,3.89,3.89,1.76,1.76,1.76
mother,4.52,4.6,4.56,4.74,4.82,4.79,4.24,4.26,4.25
